Song lists of different weeks
List of songs 
Number of Songs Read in: 197 
Total Views: 251020789 

Track Name                                                             Artist Name                    Views                     Appears                   
Salem's Interlude                                                      Khalid                         946528                    1                         
Saturday Nights                                                        Khalid                         1461619                   1                         
Say My Name                                                            David Guetta                   790530                    1                         
Say You Won't Let Go                                                   James Arthur                   746957                    1                         
Shallow                                                                Lady Gaga                      3462571                   1                         
Shape of You                                                           Ed Sheeran                     1190594                   1                         
Shorty                                                                 Future                         827219                    1                         
Shotgun                                                                George Ezra                    1348595                   1                         
SICKO MODE                                                             Travis Scott                   2617873                   1                         
Silence                                                                Marshmello                     672344                    1                         
Sin Pijama                                                             Becky G                        1175725                   1                         
SLOW DANCING IN THE DARK                                               Joji                           707060                    1                         
Solo (feat. Demi Lovato)                                               Clean Bandit                   1408006                   1                         
Something Just Like This                                               The Chainsmokers               663075                    1                         
STARGAZING                                                             Travis Scott                   838646                    1                         
STOOPID                                                                6ix9ine                        1443061                   1                         
Suncity (feat. Empress Of)                                             Khalid                         2304182                   1                         
Sunflower - Spider-Man: Into the Spider-Verse                          Post Malone                    3413611                   1                         
Sweet but Psycho                                                       Ava Max                        1798791                   1                         
Taste (feat. Offset)                                                   Tyga                           1800869                   1                         
Te Boté - Remix                                                        Nio Garcia                     1620617                   1                         
The Middle                                                             Zedd                           929766                    1                         
the remedy for a broken heart (why am I so in love)                    XXXTENTACION                   667580                    1                         
The Ringer                                                             Eminem                         760943                    1                         
There's No Way (feat. Julia Michaels)                                  Lauv                           1003513                   1                         
These Days                                                             Rudimental                     754922                    1                         
Thinking out Loud                                                      Ed Sheeran                     686301                    1                         
This Feeling (feat. Kelsea Ballerini)                                  The Chainsmokers               1719275                   1                         
Thunder                                                                Imagine Dragons                953942                    1                         
Thunderclouds                                                          Sia                            1253669                   1                         
Toda - Remix                                                           Alex Rose                      871738                    1                         
Too Good At Goodbyes                                                   Sam Smith                      794542                    1                         
Transformer (feat. Nicki Minaj)                                        Future                         984275                    1                         
Trip                                                                   Ella Mai                       961196                    1                         
Uproar                                                                 Lil Wayne                      756692                    1                         
Vaina Loca                                                             Ozuna                          2062335                   1                         
Venom - Music From The Motion Picture                                  Eminem                         1595671                   1                         
Vertigo                                                                Khalid                         1752300                   1                         
Wake Up in the Sky                                                     Gucci Mane                     1287345                   1                         
What Lovers Do (feat. SZA)                                             Maroon 5                       735819                    1                         
when the party's over                                                  Billie Eilish                  2343995                   1                         
Whenever (feat. Conor Maynard)                                         Kris Kross Amsterdam           759845                    1                         
Without Me                                                             Halsey                         2982649                   1                         
Woman Like Me (feat. Nicki Minaj)                                      Little Mix                     1716009                   1                         
Wonderwall - Remastered                                                Oasis                          663211                    1                         
WORKIN ME                                                              Quavo                          822526                    1                         
WRLD On Drugs                                                          Future                         797444                    1                         
X - Remix                                                              Nicky Jam                      740257                    1                         
XO Tour Llif3                                                          Lil Uzi Vert                   812249                    1                         
Ya No Tiene Novio                                                      Sebastian Yatra                1207972                   1                         
Yacht Club (feat. Juice WRLD)                                          Lil Yachty                     692074                    1                         
Yes Indeed                                                             Lil Baby                       1000449                   1                         
YOSEMITE                                                               Travis Scott                   676487                    1                         
Young Dumb & Broke                                                     Khalid                         726393                    1                         
Youngblood                                                             5 Seconds of Summer            1679639                   1                         
ZEZE (feat. Travis Scott & Offset)                                     Kodak Black                    4089613                   1                         

List of songs 
Number of Songs Read in: 195 
Total Views: 283220721 

Track Name                                                             Artist Name                    Views                     Appears                   
25/8                                                                   Bad Bunny                      1543840                   1                         
3 Nights                                                               Dominic Fike                   707402                    1                         
7 rings                                                                Ariana Grande                  1084704                   1                         
<3                                                                     Bad Bunny                      1339027                   1                         
A Tu Merced                                                            Bad Bunny                      1705518                   1                         
Adicto (with Anuel AA & Ozuna)                                         Tainy                          742127                    1                         
Adore You                                                              Harry Styles                   2423505                   1                         
After Hours                                                            The Weeknd                     2355056                   1                         
All of Me                                                              John Legend                    755185                    1                         
Aventura                                                               Lunay                          762328                    1                         
Ayy Macarena                                                           Tyga                           838359                    1                         
bad guy                                                                Billie Eilish                  2186471                   1                         
Ballin' (with Roddy Ricch)                                             Mustard                        1277760                   1                         
Bandit (with YoungBoy Never Broke Again)                               Juice WRLD                     1005261                   1                         
Be Alright                                                             Dean Lewis                     711459                    1                         
Beautiful People (feat. Khalid)                                        Ed Sheeran                     1285735                   1                         
Before You Go                                                          Lewis Capaldi                  2111866                   1                         
Believer                                                               Imagine Dragons                940091                    1                         
Bellaquita - Remix                                                     Dalex                          762336                    1                         
Better Now                                                             Post Malone                    743076                    1                         
Bichiyal                                                               Bad Bunny                      1836541                   1                         
Black Swan                                                             BTS                            960810                    1                         
Blanco                                                                 J Balvin                       971289                    1                         
Blinding Lights                                                        The Weeknd                     5960151                   1                         
Blueberry Faygo                                                        Lil Mosey                      2467356                   1                         
Bohemian Rhapsody - 2011 Mix                                           Queen                          878831                    1                         
BOP                                                                    DaBaby                         1161229                   1                         
Boss Bitch                                                             Doja Cat                       730040                    1                         
Boy With Luv (feat. Halsey)                                            BTS                            824522                    1                         
Bruises                                                                Lewis Capaldi                  923395                    1                         
bury a friend                                                          Billie Eilish                  716293                    1                         
Callaita                                                               Bad Bunny                      1151060                   1                         
Can We Kiss Forever?                                                   Kina                           738936                    1                         
China                                                                  Anuel AA                       1167922                   1                         
Circles                                                                Post Malone                    2809634                   1                         
CITY OF ANGELS                                                         24kGoldn                       1288558                   1                         
Commercial (feat. Lil Uzi Vert)                                        Lil Baby                       720372                    1                         
Dance Monkey                                                           Tones and I                    5188763                   1                         
Dancing With A Stranger (with Normani)                                 Sam Smith                      855212                    1                         
death bed (feat. beabadoobee)                                          Powfu                          2230755                   1                         
Definitivamente                                                        Daddy Yankee                   847512                    1                         
Dior                                                                   Pop Smoke                      742420                    1                         
Diosa                                                                  Myke Towers                    1502004                   1                         
Don't Start Now                                                        Dua Lipa                       4685644                   1                         
Eastside (with Halsey & Khalid)                                        benny blanco                   798895                    1                         
Está Cabrón Ser Yo                                                     Bad Bunny                      1604414                   1                         
everything i wanted                                                    Billie Eilish                  2625190                   1                         
Falling                                                                Trevor Daniel                  3515920                   1                         
Falling                                                                Harry Styles                   1105808                   1                         
Fantasias                                                              Rauw Alejandro                 1131306                   1                         
Feel Me                                                                Selena Gomez                   1155615                   1                         
Filter                                                                 BTS                            758866                    1                         
Forever (feat. Post Malone & Clever)                                   Justin Bieber                  1615765                   1                         
Futsal Shuffle 2020                                                    Lil Uzi Vert                   820868                    1                         
Get You The Moon (feat. Snøw)                                          Kina                           843226                    1                         
Girl                                                                   Myke Towers                    817345                    1                         
Girls Like You (feat. Cardi B)                                         Maroon 5                       778551                    1                         
Go Stupid                                                              Polo G                         1100101                   1                         
Godzilla (feat. Juice WRLD)                                            Eminem                         2461905                   1                         
Good as Hell (feat. Ariana Grande)                                     Lizzo                          842618                    1                         
Goodbyes (Feat. Young Thug)                                            Post Malone                    1007328                   1                         
GOODMORNINGTOKYO!                                                      TOKYO’S REVENGE                715441                    1                         
goosebumps                                                             Travis Scott                   779533                    1                         
Hablamos Mañana                                                        Bad Bunny                      1332132                   1                         
Happier                                                                Marshmello                     951897                    1                         
Hate Me (with Juice WRLD)                                              Ellie Goulding                 729987                    1                         
Heartless                                                              The Weeknd                     935103                    1                         
Heatin Up (feat. Gunna)                                                Lil Baby                       1213706                   1                         
High Fashion (feat. Mustard)                                           Roddy Ricch                    1723699                   1                         
High Hopes                                                             Panic! At The Disco            708867                    1                         
Higher Love                                                            Kygo                           756976                    1                         
HIGHEST IN THE ROOM                                                    Travis Scott                   1262001                   1                         
Hola - Remix                                                           Dalex                          1540480                   1                         
hot girl bummer                                                        blackbear                      1418084                   1                         
How Do You Sleep?                                                      Sam Smith                      971471                    1                         
I Don't Care (with Justin Bieber)                                      Ed Sheeran                     1513245                   1                         
I Like Me Better                                                       Lauv                           790374                    1                         
I.F.L.Y.                                                               Bazzi                          728728                    1                         
If I Can't Have You                                                    Shawn Mendes                   727467                    1                         
If The World Was Ending (feat. Julia Michaels)                         JP Saxe                        1216381                   1                         
Ignorantes                                                             Bad Bunny                      4033706                   1                         
Infeliz                                                                Arcangel                       766267                    1                         
Intentions (feat. Quavo)                                               Justin Bieber                  4078714                   1                         
It's You                                                               Ali Gatie                      1055117                   1                         
Jocelyn Flores                                                         XXXTENTACION                   781096                    1                         
July                                                                   Noah Cyrus                     783698                    1                         
Keii                                                                   Anuel AA                       1392811                   1                         
Know Your Worth                                                        Khalid                         1277185                   1                         
LA CANCIÓN                                                             J Balvin                       1206664                   1                         
La Difícil                                                             Bad Bunny                      4460633                   1                         
La Santa                                                               Bad Bunny                      3257797                   1                         
La Zona                                                                Bad Bunny                      1483825                   1                         
Lalala                                                                 Y2K                            987155                    1                         
Life Is Good (feat. Drake)                                             Future                         2724329                   1                         
Lights Up                                                              Harry Styles                   846598                    1                         
Live Off My Closet (feat. Future)                                      Lil Baby                       815197                    1                         
Lose Control                                                           MEDUZA                         1694896                   1                         
Lose You To Love Me                                                    Selena Gomez                   1220307                   1                         
lovely (with Khalid)                                                   Billie Eilish                  1313224                   1                         
Lucid Dreams                                                           Juice WRLD                     1159413                   1                         
Maniac                                                                 Conan Gray                     803884                    1                         
me & ur ghost                                                          blackbear                      743873                    1                         
Me Gusta                                                               Shakira                        1151544                   1                         
Medusa                                                                 Jhay Cortez                    895179                    1                         
Memories                                                               Maroon 5                       2572280                   1                         
Modern Loneliness                                                      Lauv                           800946                    1                         
Money In The Grave (Drake ft. Rick Ross)                               Drake                          845921                    1                         
Morado                                                                 J Balvin                       1866899                   1                         
Moral of the Story                                                     Ashe                           1854605                   1                         
Muévelo                                                                Nicky Jam                      1287958                   1                         
My Oh My (feat. DaBaby)                                                Camila Cabello                 1919646                   1                         
Never Seen the Rain                                                    Tones and I                    1110265                   1                         
No Idea                                                                Don Toliver                    992297                    1                         
No Judgement                                                           Niall Horan                    795527                    1                         
No Me Conoce - Remix                                                   Jhay Cortez                    1164909                   1                         
No Time To Die                                                         Billie Eilish                  2646141                   1                         
ocean eyes                                                             Billie Eilish                  836205                    1                         
Old Me                                                                 5 Seconds of Summer            741435                    1                         
Old Town Road - Remix                                                  Lil Nas X                      926645                    1                         
ON                                                                     BTS                            1334921                   1                         
ON (Feat. Sia)                                                         BTS                            1132180                   1                         
OUT WEST (feat. Young Thug)                                            JACKBOYS                       966178                    1                         
Own It (feat. Ed Sheeran & Burna Boy)                                  Stormzy                        738358                    1                         
P FKN R                                                                Bad Bunny                      1152143                   1                         
Perfect                                                                Ed Sheeran                     795810                    1                         
Pero Ya No                                                             Bad Bunny                      2365809                   1                         
Physical                                                               Dua Lipa                       2006241                   1                         
Piece Of Your Heart                                                    MEDUZA                         778769                    1                         
PTSD                                                                   G Herbo                        706249                    1                         
Puesto Pa' Guerrial                                                    Bad Bunny                      1037153                   1                         
Que Malo                                                               Bad Bunny                      1528249                   1                         
QUE PRETENDES                                                          J Balvin                       717478                    1                         
Que Tire Pa Lante                                                      Daddy Yankee                   749262                    1                         
Quizas                                                                 Rich Music LTD                 705459                    1                         
Ransom                                                                 Lil Tecca                      830156                    1                         
Rare                                                                   Selena Gomez                   819503                    1                         
René                                                                   Residente                      1721108                   1                         
Ride It                                                                Regard                         1565064                   1                         
RITMO (Bad Boys For Life)                                              Black Eyed Peas                1907324                   1                         
Robbery                                                                Juice WRLD                     806584                    1                         
rockstar (feat. 21 Savage)                                             Post Malone                    929102                    1                         
Rojo                                                                   J Balvin                       2113881                   1                         
Roses - Imanbek Remix                                                  SAINt JHN                      2444417                   1                         
ROXANNE                                                                Arizona Zervas                 3352223                   1                         
SAD!                                                                   XXXTENTACION                   785127                    1                         
Safaera                                                                Bad Bunny                      2367327                   1                         
Say So                                                                 Doja Cat                       3624838                   1                         
Say You Won't Let Go                                                   James Arthur                   884082                    1                         
Señorita                                                               Shawn Mendes                   2068365                   1                         
Shallow                                                                Lady Gaga                      1241690                   1                         
Shape of You                                                           Ed Sheeran                     876371                    1                         
Si Veo a Tu Mamá                                                       Bad Bunny                      4135190                   1                         
SICKO MODE                                                             Travis Scott                   810582                    1                         
Sigues Con El                                                          Dimelo Flow                    1948209                   1                         
Soliá                                                                  Bad Bunny                      1787411                   1                         
Someone You Loved                                                      Lewis Capaldi                  2754975                   1                         
South of the Border (feat. Camila Cabello & Cardi B)                   Ed Sheeran                     843252                    1                         
Starboy                                                                The Weeknd                     734037                    1                         
Still Be Friends (feat. Tory Lanez & Tyga)                             G-Eazy                         865856                    1                         
Stupid Love                                                            Lady Gaga                      2902408                   1                         
Sucker                                                                 Jonas Brothers                 917705                    1                         
SUGAR                                                                  BROCKHAMPTON                   1092566                   1                         
Suicidal                                                               YNW Melly                      1253054                   1                         
Sum 2 Prove                                                            Lil Baby                       847153                    1                         
Sunday Best                                                            Surfaces                       2402039                   1                         
Sunflower - Spider-Man: Into the Spider-Verse                          Post Malone                    1465464                   1                         
Supalonely                                                             BENEE                          819791                    1                         
Sweet but Psycho                                                       Ava Max                        767535                    1                         
Takeaway                                                               The Chainsmokers               733660                    1                         
Tattoo                                                                 Rauw Alejandro                 1258977                   1                         
That Way                                                               Lil Uzi Vert                   2434669                   1                         
The Box                                                                Roddy Ricch                    5408648                   1                         
The Other Side (from Trolls World Tour)                                SZA                            1159820                   1                         
To Die For                                                             Sam Smith                      1544969                   1                         
TOES (feat. Lil Baby & Moneybagg Yo)                                   DaBaby                         959632                    1                         
Trampoline (with ZAYN)                                                 SHAED                          725011                    1                         
Truth Hurts                                                            Lizzo                          708235                    1                         
Tusa                                                                   KAROL G                        3639270                   1                         
Una Vez                                                                Bad Bunny                      1387325                   1                         
Vete                                                                   Bad Bunny                      2967586                   1                         
VIBEZ                                                                  DaBaby                         760812                    1                         
Watermelon Sugar                                                       Harry Styles                   1159859                   1                         
What A Man Gotta Do                                                    Jonas Brothers                 1403948                   1                         
What If I Told You That I Love You                                     Ali Gatie                      1322614                   1                         
WHATS POPPIN                                                           Jack Harlow                    1573034                   1                         
when the party's over                                                  Billie Eilish                  1238512                   1                         
Whine Up                                                               Nicky Jam                      857659                    1                         
Without Me                                                             Halsey                         895846                    1                         
Woah                                                                   Lil Baby                       1186196                   1                         
Wow.                                                                   Post Malone                    883669                    1                         
Yo Perreo Sola                                                         Bad Bunny                      2359255                   1                         
You Need To Calm Down                                                  Taylor Swift                   750778                    1                         
You should be sad                                                      Halsey                         2103722                   1                         
Youngblood                                                             5 Seconds of Summer            716439                    1                         
Yummy                                                                  Justin Bieber                  2747489                   1                         

List of songs 
Number of Songs Read in: 193 
Total Views: 2037432138 

Track Name                                                             Artist Name                    Views                     Appears                   
223's (feat. 9lokknine)                                                YNW Melly                      5400709                   1                         
3 Nights                                                               Dominic Fike                   5390516                   1                         
7 rings                                                                Ariana Grande                  8553234                   1                         
Adicto (with Anuel AA & Ozuna)                                         Tainy                          8623148                   1                         
Adore You                                                              Harry Styles                   16285662                  1                         
Alfred - Interlude                                                     Eminem                         8030151                   1                         
All I Want - From High School Musical: The Musical: The Series         Olivia Rodrigo                 5432071                   1                         
Aventura                                                               Lunay                          7519215                   1                         
Ayy Macarena                                                           Tyga                           11820301                  1                         
bad guy                                                                Billie Eilish                  16405196                  1                         
Ballin' (with Roddy Ricch)                                             Mustard                        11242147                  1                         
Bandit (with YoungBoy Never Broke Again)                               Juice WRLD                     11296952                  1                         
Be Alright                                                             Dean Lewis                     5167120                   1                         
Beautiful People (feat. Khalid)                                        Ed Sheeran                     10419420                  1                         
Before You Go                                                          Lewis Capaldi                  13993666                  1                         
Believer                                                               Imagine Dragons                6807552                   1                         
Bellaquita - Remix                                                     Dalex                          7077703                   1                         
Better Now                                                             Post Malone                    5344311                   1                         
Big Drip                                                               Ufo361                         6010373                   1                         
Black Swan                                                             BTS                            18424710                  1                         
Blanche                                                                Maes                           5656775                   1                         
Blanco                                                                 J Balvin                       8039574                   1                         
Blinding Lights                                                        The Weeknd                     33551309                  1                         
Blue World                                                             Mac Miller                     12762791                  1                         
Bohemian Rhapsody - 2011 Mix                                           Queen                          6488962                   1                         
BOP                                                                    DaBaby                         14163167                  1                         
Boy With Luv (feat. Halsey)                                            BTS                            5781676                   1                         
Break My Stride                                                        Matthew Wilder                 6596199                   1                         
Bruises                                                                Lewis Capaldi                  6819066                   1                         
bury a friend                                                          Billie Eilish                  5609959                   1                         
Callaita                                                               Bad Bunny                      8645221                   1                         
Can We Kiss Forever?                                                   Kina                           5802085                   1                         
China                                                                  Anuel AA                       11911525                  1                         
Circles                                                                Post Malone                    23997809                  1                         
Circles                                                                Mac Miller                     11781966                  1                         
Complicated                                                            Mac Miller                     9443725                   1                         
Con Altura                                                             ROSALÍA                        5442011                   1                         
Con Calma                                                              Daddy Yankee                   5302464                   1                         
Dance Monkey                                                           Tones and I                    50409214                  1                         
Dancing With A Stranger (with Normani)                                 Sam Smith                      6036480                   1                         
Dans l'espace (feat. Heuss l'Enfoiré)                                  Gambi                          5678754                   1                         
Darkness                                                               Eminem                         15658341                  1                         
Don't Start Now                                                        Dua Lipa                       28228768                  1                         
Eastside (with Halsey & Khalid)                                        benny blanco                   5792803                   1                         
Eleven                                                                 Khalid                         9835375                   1                         
Everybody                                                              Mac Miller                     8172098                   1                         
everything i wanted                                                    Billie Eilish                  21786149                  1                         
Falling                                                                Trevor Daniel                  28606316                  1                         
Falling                                                                Harry Styles                   6130644                   1                         
Fantasias                                                              Rauw Alejandro                 12612009                  1                         
Farewell                                                               Eminem                         8277608                   1                         
FML                                                                    Arizona Zervas                 6602053                   1                         
Futsal Shuffle 2020                                                    Lil Uzi Vert                   10699707                  1                         
Get You The Moon (feat. Snøw)                                          Kina                           5849842                   1                         
Girls Like You (feat. Cardi B)                                         Maroon 5                       5623552                   1                         
Godzilla (feat. Juice WRLD)                                            Eminem                         40637125                  1                         
Good as Hell (feat. Ariana Grande) - Remix                             Lizzo                          6417238                   1                         
Good News                                                              Mac Miller                     21727425                  1                         
Goodbyes (Feat. Young Thug)                                            Post Malone                    8270333                   1                         
goosebumps                                                             Travis Scott                   5421097                   1                         
Graveyard                                                              Halsey                         7144766                   1                         
Hand Me Downs                                                          Mac Miller                     9521654                   1                         
Hands                                                                  Mac Miller                     5934464                   1                         
Happier                                                                Marshmello                     7358042                   1                         
Hate Me (with Juice WRLD)                                              Ellie Goulding                 6177336                   1                         
Heartless                                                              The Weeknd                     8982670                   1                         
High Fashion (feat. Mustard)                                           Roddy Ricch                    8743684                   1                         
High Hopes                                                             Panic! At The Disco            5278651                   1                         
Higher Love                                                            Kygo                           5684696                   1                         
HIGHEST IN THE ROOM                                                    Travis Scott                   11867232                  1                         
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX                 Travis Scott                   8594049                   1                         
Hola - Remix                                                           Dalex                          12526399                  1                         
Hot (Remix) [feat. Gunna and Travis Scott]                             Young Thug                     5485603                   1                         
hot girl bummer                                                        blackbear                      15114079                  1                         
How Do You Sleep?                                                      Sam Smith                      8311213                   1                         
I Can See                                                              Mac Miller                     10086930                  1                         
